Date/Time,Device Restarts,Precip Inst (mm),Peso Cubo (g),Precip Tot (mm),Voltaje (V),Temperatura (°C)
11/01/2025 02:10:00,"",0,1667.108398,0,"",""
11/01/2025 02:15:00,"",0,1666.976074,0,"",""
11/01/2025 02:20:00,"",0,1667.084961,0,"",""
11/01/2025 02:25:00,"",0,1666.918945,0,"",""
11/01/2025 02:30:00,"",0,1666.927979,0,12.98,-2.5
11/01/2025 02:35:00,"",0,1667.132568,0,"",""
11/01/2025 02:40:00,"",0,1667.18457,0,"",""
11/01/2025 02:45:00,"",0,1667.013916,0,"",""
11/01/2025 02:50:00,"",0,1667.041992,0,"",""
11/01/2025 02:55:00,"",0,1667.203613,0,"",""
11/01/2025 03:00:00,"",0,1667.080566,0,12.969999,-2.5
11/01/2025 03:05:00,"",0,1667.090088,0,"",""
11/01/2025 03:10:00,"",0,1667.136963,0,"",""
11/01/2025 03:15:00,"",0,1666.98999,0,"",""
11/01/2025 03:20:00,"",0,1667.075928,0,"",""
11/01/2025 03:25:00,"",0,1666.994873,0,"",""
11/01/2025 03:30:00,"",0,1666.875977,0,12.959999,-2.7
11/01/2025 03:35:00,"",0,1666.909424,0,"",""
11/01/2025 03:40:00,"",0,1667.061035,0,"",""
11/01/2025 03:45:00,"",0,1666.970947,0,"",""
11/01/2025 03:50:00,"",0,1667.056396,0,"",""
11/01/2025 03:55:00,"",0,1666.956543,0,"",""
11/01/2025 04:00:00,"",0,1666.823975,0,12.959999,-2.8
11/01/2025 04:05:00,"",0,1667.071045,0,"",""
11/01/2025 04:10:00,"",0,1666.999512,0,"",""
11/01/2025 04:15:00,"",0,1666.942383,0,"",""
11/01/2025 04:20:00,"",0,1666.875977,0,"",""
11/01/2025 04:25:00,"",0,1666.752441,0,"",""
11/01/2025 04:30:00,"",0,1666.880859,0,12.949999,-2.9
11/01/2025 04:35:00,"",0,1666.89502,0,"",""
11/01/2025 04:40:00,"",0,1667.136963,0,"",""
11/01/2025 04:45:00,"",0,1666.966553,0,"",""
11/01/2025 04:50:00,"",0,1666.885986,0,"",""
11/01/2025 04:55:00,"",0,1666.970947,0,"",""
11/01/2025 05:00:00,"",0,1666.847412,0,12.939999,-3
11/01/2025 05:05:00,"",0,1666.724609,0,"",""
11/01/2025 05:10:00,"",0,1666.838379,0,"",""
11/01/2025 05:15:00,"",0,1666.823975,0,"",""
11/01/2025 05:20:00,"",0,1667.056396,0,"",""
11/01/2025 05:25:00,"",0,1666.80957,0,"",""
11/01/2025 05:30:00,"",0,1666.686523,0,13.02,-3.1
11/01/2025 05:35:00,"",0,1666.785889,0,"",""
11/01/2025 05:40:00,"",0,1666.833496,0,"",""
11/01/2025 05:45:00,"",0,1666.814941,0,"",""
11/01/2025 05:50:00,"",0,1667.018555,0,"",""
11/01/2025 05:55:00,"",0,1666.810059,0,"",""
11/01/2025 06:00:00,"",0,1666.918945,0,13.389999,-2.9
11/01/2025 06:05:00,"",0,1666.852539,0,"",""
11/01/2025 06:10:00,"",0,1667.061035,0,"",""
11/01/2025 06:15:00,"",0,1666.942383,0,"",""
11/01/2025 06:20:00,"",0,1666.785889,0,"",""
11/01/2025 06:25:00,"",0,1667.009033,0,"",""
11/01/2025 06:30:00,"",0,1666.905029,0,13.85,-2.3
11/01/2025 06:35:00,"",0,1667.079834,0,"",""
11/01/2025 06:40:00,"",0,1667.179932,0,"",""
11/01/2025 06:45:00,"",0,1667.962891,0,"",""
11/01/2025 06:50:00,"",0,1668.233398,0,"",""
11/01/2025 06:55:00,"",0,1668.427979,0,"",""
11/01/2025 07:00:00,"",0,1668.152588,0,14.359999,1.5
11/01/2025 07:05:00,"",0,1668.137939,0,"",""
11/01/2025 07:10:00,"",0,1668.384521,0,"",""
11/01/2025 07:15:00,"",0,1668.290527,0,"",""
11/01/2025 07:20:00,"",0,1668.527344,0,"",""
11/01/2025 07:25:00,"",0,1668.290039,0,"",""
11/01/2025 07:30:00,"",0,1668.546387,0,14.35,6.4
11/01/2025 07:35:00,"",0,1668.555908,0,"",""
11/01/2025 07:40:00,"",0,1668.864502,0,"",""
11/01/2025 07:45:00,"",0,1668.73584,0,"",""
11/01/2025 07:50:00,"",0,1668.545898,0,"",""
11/01/2025 07:55:00,"",0,1668.769043,0,"",""
11/01/2025 08:00:00,"",0,1668.570557,0,14.34,11.9
11/01/2025 08:05:00,"",0,1668.674561,0,"",""
11/01/2025 08:10:00,"",0,1668.489502,0,"",""
11/01/2025 08:15:00,"",0,1668.30957,0,"",""
11/01/2025 08:20:00,"",0,1667.962891,0,"",""
11/01/2025 08:25:00,"",0,1667.778076,0,"",""
11/01/2025 08:30:00,"",0,1668.247559,0,13.939999,14.199999
11/01/2025 08:35:00,"",0,1668.673828,0,"",""
11/01/2025 08:40:00,"",0,1668.441895,0,"",""
11/01/2025 08:45:00,"",0,1667.563965,0,"",""
11/01/2025 08:50:00,"",0,1666.605469,0,"",""
11/01/2025 08:55:00,"",0,1666.373535,0,"",""
11/01/2025 09:00:00,"",0,1666.093506,0,13.939999,13.199999
11/01/2025 09:05:00,"",0,1665.960449,0,"",""
11/01/2025 09:10:00,"",0,1666.050537,0,"",""
11/01/2025 09:15:00,"",0,1666.211914,0,"",""
11/01/2025 09:20:00,"",0,1666.543945,0,"",""
11/01/2025 09:25:00,"",0,1666.525391,0,"",""
11/01/2025 09:30:00,"",0,1666.487061,0,13.949999,9.799999
11/01/2025 09:35:00,"",0,1667.2229,0,"",""
